날짜,종가,오픈,고가,저가,거래량,변동 %
2019-01-31,"1,902.81","1,924.09","1,925.93","1,902.81",57.41M,-0.39%
2019-02-01,"1,903.00","1,911.85","1,922.33","1,900.29",40.39M,0.01%
2019-02-06,"1,903.00","1,903.00","1,903.00","1,903.00",,0.00%
2019-02-07,"1,900.95","1,914.98","1,916.39","1,898.52",38.81M,-0.11%
2019-02-08,"1,869.36","1,887.48","1,888.50","1,866.30",36.13M,-1.66%
2019-02-10,"1,869.36","1,869.36","1,869.36","1,869.36",,0.00%
2019-02-11,"1,874.30","1,869.56","1,874.55","1,858.11",36.37M,0.26%
2019-02-12,"1,887.42","1,873.72","1,891.73","1,868.12",39.29M,0.70%
2019-02-13,"1,895.65","1,897.62","1,901.14","1,890.14",37.94M,0.44%
2019-02-14,"1,924.00","1,891.21","1,924.00","1,883.15",49.56M,1.50%
2019-02-15,"1,888.28","1,907.83","1,907.83","1,879.96",34.84M,-1.86%
2019-02-17,"1,888.28","1,888.28","1,888.28","1,888.28",,0.00%
2019-02-18,"1,899.99","1,899.52","1,909.28","1,891.25",29.93M,0.62%
2019-02-19,"1,891.84","1,895.11","1,899.64","1,879.51",23.89M,-0.43%
2019-02-20,"1,916.40","1,903.85","1,922.27","1,902.48",39.64M,1.30%
2019-02-21,"1,918.64","1,908.78","1,924.41","1,901.00",33.64M,0.12%
2019-02-22,"1,919.80","1,909.10","1,919.80","1,903.13",27.54M,0.06%
2019-02-25,"1,920.08","1,927.74","1,928.63","1,911.25",26.85M,0.01%
2019-02-26,"1,911.29","1,916.14","1,920.84","1,904.96",31.23M,-0.46%
2019-02-27,"1,916.39","1,918.04","1,922.93","1,913.24",32.57M,0.27%
2019-02-28,"1,884.17","1,910.57","1,912.16","1,884.17",62.33M,-1.68%
2019-03-04,"1,872.81","1,901.85","1,904.23","1,870.47",46.36M,-0.60%
2019-03-05,"1,857.36","1,866.16","1,869.63","1,852.36",34.47M,-0.82%
2019-03-06,"1,855.36","1,855.32","1,856.70","1,847.43",35.19M,-0.11%
2019-03-07,"1,851.65","1,850.66","1,866.42","1,842.44",34.61M,-0.20%
2019-03-08,"1,824.68","1,840.34","1,846.23","1,824.64",31.54M,-1.46%
2019-03-11,"1,824.76","1,830.76","1,836.16","1,819.54",30.50M,0.00%
2019-03-12,"1,845.00","1,840.99","1,850.71","1,838.29",30.94M,1.11%
2019-03-13,"1,830.61","1,838.17","1,839.15","1,816.95",27.44M,-0.78%
2019-03-14,"1,833.63","1,835.08","1,839.91","1,820.76",48.90M,0.16%
2019-03-15,"1,854.58","1,832.30","1,857.75","1,831.63",56.11M,1.14%
2019-03-18,"1,852.71","1,855.86","1,859.88","1,846.15",25.32M,-0.10%
2019-03-19,"1,853.29","1,854.16","1,855.34","1,843.41",24.44M,0.03%
2019-03-20,"1,855.74","1,846.14","1,856.53","1,829.92",29.11M,0.13%
2019-03-21,"1,882.88","1,867.37","1,894.28","1,867.37",52.42M,1.46%
2019-03-22,"1,890.63","1,895.46","1,898.97","1,883.55",74.60M,0.41%
2019-03-25,"1,850.60","1,861.12","1,861.64","1,848.78",32.77M,-2.12%
2019-03-26,"1,848.77","1,856.43","1,857.07","1,844.98",31.23M,-0.10%
2019-03-27,"1,845.84","1,842.45","1,852.26","1,827.50",28.63M,-0.16%
2019-03-28,"1,831.85","1,829.26","1,838.81","1,823.34",27.45M,-0.76%
2019-03-29,"1,837.13","1,837.83","1,840.80","1,824.18",40.30M,0.29%
2019-04-01,"1,862.74","1,851.95","1,867.23","1,851.95",31.08M,1.39%
2019-04-02,"1,875.42","1,872.71","1,880.28","1,870.33",33.01M,0.68%
2019-04-03,"1,903.80","1,878.59","1,903.80","1,873.30",41.92M,1.51%
2019-04-04,"1,906.99","1,899.87","1,918.65","1,898.72",35.22M,0.17%
2019-04-05,"1,910.37","1,906.14","1,918.63","1,904.84",27.02M,0.18%
2019-04-08,"1,908.95","1,917.34","1,917.34","1,899.10",29.55M,-0.07%
2019-04-09,"1,911.22","1,909.70","1,919.19","1,901.82",29.20M,0.12%
2019-04-10,"1,918.71","1,901.13","1,919.22","1,898.79",37.04M,0.39%
